Date Start,Date Stop,Ad id,Amount Spend,Campaign Name,Ad Set Name,Ad Name,Clicks,CPM,CTR,Impressions,Reach,Country
2023-04-04,2023-06-02,94,278.35,Spring Collection,Google Display Network,AU + NZ,76,128.2718894,0.03502304147,2170,919,AR
2023-01-19,2023-04-02,19,279.29,Summer Sale,Instagram Promotions,AU + NZ,90,64.8757259,0.02090592334,4305,886,ID
2023-06-23,2023-09-18,174,289.02,Spring Collection,Facebook Ads,AU + NZ,49,33.79165205,0.005728983982,8553,884,FR
2023-01-26,2023-02-17,26,296.56,Outdoor Adventure,Google Display Network,AU + NZ,62,62.15887655,0.01299517921,4771,905,ID
2023-03-27,2023-04-27,86,297.61,Summer Sale,Google Display Network,AU + NZ,37,33.27482111,0.004136851521,8944,893,AR
2023-03-11,2023-03-26,70,297.78,Tech Expo,Google Display Network,AU + NZ,14,43.22543185,0.002032225287,6889,824,ZA
2023-06-14,2023-07-18,165,300.68,Tech Expo,Instagram Promotions,AU + NZ,33,48.77210057,0.005352798054,6165,820,CA
2023-05-10,2023-05-25,130,306.21,Tech Expo,Facebook Ads,AU + NZ,52,42.5942412,0.007233273056,7189,931,RO
2023-02-01,2023-03-01,32,318.42,Spring Collection,Instagram Promotions,AU + NZ,26,118.2398812,0.00965466023,2693,933,ID
2023-06-25,2023-09-09,176,319.48,Outdoor Adventure,Google Display Network,Landing X traffic,19,39.77589641,0.002365537849,8032,859,FR
2023-01-21,2023-02-26,21,322.11,Spring Collection,Google Display Network,Landing X traffic,12,77.7292471,0.002895752896,4144,873,ID
2023-04-28,2023-05-28,118,322.62,Outdoor Adventure,Google Display Network,Landing X traffic,21,108.4801614,0.007061197041,2974,832,RO
2023-02-13,2023-04-10,44,331.99,Summer Sale,Instagram Promotions,Landing X traffic,60,254.5935583,0.04601226994,1304,871,ID
2023-02-18,2023-03-17,49,333.31,Spring Collection,Facebook Ads,Landing X traffic,31,94.34191905,0.00877441268,3533,903,ID
2023-01-29,2023-04-15,29,333.65,Outdoor Adventure,Google Display Network,Landing X traffic,15,41.07472609,0.001846608396,8123,840,ID
2023-03-10,2023-06-03,69,340.19,Tech Expo,Instagram Promotions,Landing X traffic,73,63.43278016,0.01361178445,5363,865,ZA
2023-04-17,2023-05-25,107,343.72,Summer Sale,Instagram Promotions,Landing X traffic,91,63.37020649,0.01677728614,5424,914,RO
2023-02-10,2023-04-20,41,347.85,Summer Sale,Google Display Network,Landing X traffic,40,182.7903311,0.02101944298,1903,935,ID
2023-03-29,2023-05-16,88,351.62,Summer Sale,Instagram Promotions,Landing X traffic,68,117.4415498,0.02271209085,2994,907,AR
2023-01-15,2023-03-19,15,353.02,Outdoor Adventure,Google Display Network,Mobile app downloads,26,87.33795151,0.006432459179,4042,832,BR
2023-03-26,2023-06-23,85,357.17,Summer Sale,Google Display Network,Mobile app downloads,88,62.74947294,0.01546029515,5692,857,AR
2023-03-13,2023-04-30,72,364.38,Outdoor Adventure,Instagram Promotions,Mobile app downloads,41,151.6985845,0.01706910908,2402,811,ZA
2023-01-03,2023-03-07,3,366.08,Summer Sale,Instagram Promotions,Mobile app downloads,87,56.24212629,0.01336610847,6509,895,BR
2023-03-18,2023-05-06,77,370.63,Tech Expo,Facebook Ads,Mobile app downloads,56,81.96152145,0.01238390093,4522,834,AR
2023-02-22,2023-03-29,53,380.57,Tech Expo,Instagram Promotions,Mobile app downloads,37,45.71411411,0.004444444444,8325,800,ID
2023-04-29,2023-05-27,119,381.45,Tech Expo,Google Display Network,Mobile app downloads,99,175.8644537,0.04564315353,2169,920,RO
2023-04-30,2023-06-25,120,381.57,Summer Sale,Google Display Network,Mobile app downloads,77,315.0867052,0.06358381503,1211,936,RO
2023-02-03,2023-04-01,34,383.51,Summer Sale,Google Display Network,Mobile app downloads,100,117.4969363,0.0306372549,3264,805,ID
2023-04-25,2023-06-11,115,384.32,Spring Collection,Google Display Network,Mobile app downloads,39,92.03065134,0.00933908046,4176,812,RO
2023-01-28,2023-04-15,28,387.25,Summer Sale,Facebook Ads,Mobile app downloads,58,49.33749522,0.007389476366,7849,875,ID
2023-02-02,2023-02-25,33,397,Spring Collection,Instagram Promotions,Mobile app downloads,36,155.0175713,0.01405700898,2561,904,ID
2023-04-07,2023-05-31,97,403.63,Tech Expo,Google Display Network,Mobile app downloads,30,58.07625899,0.004316546763,6950,851,RO
2023-01-12,2023-01-26,12,409.84,Summer Sale,Instagram Promotions,Mobile app downloads,51,105.1141318,0.01308027699,3899,814,BR
2023-06-03,2023-06-24,154,410.66,Tech Expo,Google Display Network,Mobile app downloads,18,136.7954697,0.005996002665,3002,925,US
2023-05-26,2023-06-17,146,417.74,Spring Collection,Google Display Network,Mobile app downloads,70,150.1042041,0.0251527129,2783,923,US
2023-06-24,2023-08-02,175,426.96,Outdoor Adventure,Google Display Network,Mobile app downloads,52,70.35096391,0.008568133136,6069,908,FR
2023-06-11,2023-08-08,162,430.68,Outdoor Adventure,Facebook Ads,Mobile app downloads,56,44.97493734,0.005847953216,9576,857,CA
2023-03-21,2023-05-07,80,436.74,Summer Sale,Google Display Network,Mobile app downloads,53,73.72383525,0.008946657664,5924,832,AR
2023-05-17,2023-08-08,137,444.41,Spring Collection,Instagram Promotions,Mobile app downloads,97,81.08191936,0.01769750046,5481,880,RO
2023-06-27,2023-08-19,178,449.05,Summer Sale,Facebook Ads,Mobile app downloads,73,61.17847411,0.009945504087,7340,865,FR
2023-01-07,2023-01-26,7,454.83,Tech Expo,Facebook Ads,Mobile app downloads,92,73.39519122,0.01484589317,6197,922,BR
2023-02-06,2023-02-20,37,462.07,Spring Collection,Facebook Ads,Mobile app downloads,45,141.9133907,0.01382063882,3256,849,ID
2023-06-28,2023-09-21,179,466.51,Spring Collection,Facebook Ads,Mobile app downloads,80,104.2480447,0.01787709497,4475,828,FR
2023-06-21,2023-08-25,172,473.2,Summer Sale,Instagram Promotions,Mobile app downloads,12,364.5608629,0.009244992296,1298,926,MX
2023-05-20,2023-06-09,140,476.53,Tech Expo,Instagram Promotions,Mobile app downloads,89,50.44246851,0.009420980205,9447,841,US
2023-06-18,2023-09-11,169,478.36,Summer Sale,Facebook Ads,Mobile app downloads,74,97.48522519,0.01508049725,4907,927,MX
2023-05-27,2023-08-20,147,483.17,Spring Collection,Facebook Ads,Mobile app downloads,66,140.0898811,0.01913598144,3449,904,US
2023-03-15,2023-05-17,74,486.66,Outdoor Adventure,Facebook Ads,A/B test 3,36,57.13312984,0.004226344212,8518,924,ZA
2023-03-08,2023-05-23,67,498.6,Summer Sale,Instagram Promotions,A/B test 3,75,53.57257978,0.008058450629,9307,940,ZA
2023-04-14,2023-07-12,104,507.79,Spring Collection,Facebook Ads,A/B test 3,26,105.5477032,0.005404281854,4811,866,RO
2023-05-04,2023-07-02,124,512.5,Summer Sale,Instagram Promotions,A/B test 3,81,52.08862689,0.008232543958,9839,864,RO
2023-01-01,2023-03-07,1,517.75,Summer Sale,Google Display Network,A/B test 3,61,246.1959106,0.02900618165,2103,806,BR
2023-05-09,2023-07-26,129,520.75,Outdoor Adventure,Facebook Ads,A/B test 3,65,72.48747216,0.009047884187,7184,884,RO
2023-05-24,2023-06-17,144,548.11,Tech Expo,Google Display Network,A/B test 3,98,59.40927813,0.01062215478,9226,868,US
2023-04-21,2023-06-06,111,560.06,Tech Expo,Instagram Promotions,A/B test 3,31,432.1450617,0.02391975309,1296,850,RO
2023-06-22,2023-08-11,173,568.6,Spring Collection,Google Display Network,A/B test 3,37,76.79632631,0.004997298757,7404,942,FR
2023-06-29,2023-07-27,180,580.59,Summer Sale,Instagram Promotions,A/B test 3,28,139.1634708,0.006711409396,4172,949,FR
2023-03-30,2023-06-03,89,580.77,Tech Expo,Google Display Network,A/B test 3,54,65.86187344,0.006123837605,8818,807,AR
2023-02-11,2023-04-11,42,587.41,Outdoor Adventure,Facebook Ads,A/B test 3,22,78.75184341,0.002949457032,7459,831,ID
2023-06-15,2023-09-03,166,593.21,Summer Sale,Facebook Ads,A/B test 3,13,79.39105996,0.001739828694,7472,879,CA
2023-05-11,2023-06-01,131,599.15,Spring Collection,Google Display Network,A/B test 3,83,138.5317919,0.01919075145,4325,912,RO
2023-04-24,2023-07-14,114,599.32,Spring Collection,Google Display Network,A/B test 3,24,155.1436707,0.006212787989,3863,864,RO
2023-02-26,2023-04-19,57,602.08,Spring Collection,Google Display Network,A/B test 4,97,66.36684303,0.01069223986,9072,808,AU
2023-06-01,2023-08-20,152,609.57,Summer Sale,Instagram Promotions,A/B test 4,64,116.9551036,0.01227935533,5212,926,US
2023-04-01,2023-05-25,91,611.9,Outdoor Adventure,Google Display Network,A/B test 4,31,81.27241334,0.004117412671,7529,840,AR
2023-06-30,2023-07-26,181,616.86,Outdoor Adventure,Facebook Ads,A/B test 4,17,214.1131552,0.005900728914,2881,931,FR
2023-03-03,2023-05-22,62,617.09,Tech Expo,Facebook Ads,A/B test 4,19,103.2786611,0.003179916318,5975,861,AU
2023-05-05,2023-06-11,125,619.63,Tech Expo,Google Display Network,A/B test 4,30,64.68629293,0.003131850924,9579,922,RO
2023-01-06,2023-01-23,6,625.48,Tech Expo,Facebook Ads,A/B test 4,82,64.66246252,0.00847720459,9673,923,BR
2023-01-31,2023-04-12,31,625.79,Spring Collection,Instagram Promotions,A/B test 4,85,110.4270337,0.0149991177,5667,861,ID
2023-03-16,2023-06-12,75,626.45,Tech Expo,Facebook Ads,US market,53,136.0369164,0.0115092291,4605,885,ZA
2023-01-14,2023-02-28,14,628.36,Outdoor Adventure,Instagram Promotions,US market,85,93.4225394,0.01263752602,6726,935,BR
2023-04-26,2023-06-02,116,635.39,Tech Expo,Facebook Ads,US market,65,205.0968367,0.02098127824,3098,923,RO
2023-05-02,2023-06-02,122,637.45,Summer Sale,Facebook Ads,US market,38,69.79634293,0.004160735793,9133,941,RO
2023-05-16,2023-06-21,136,637.67,Tech Expo,Instagram Promotions,US market,93,101.2013966,0.01475956197,6301,935,RO
2023-03-20,2023-04-21,79,642.92,Outdoor Adventure,Instagram Promotions,US market,61,108.6196993,0.0103057949,5919,801,AR
2023-03-31,2023-05-03,90,651.33,Spring Collection,Facebook Ads,US market,30,108.1045643,0.004979253112,6025,864,AR
2023-01-09,2023-01-29,9,652.22,Tech Expo,Instagram Promotions,US market,37,70.16890802,0.00398063475,9295,896,BR
2023-05-08,2023-07-04,128,654.66,Summer Sale,Instagram Promotions,US market,46,208.5568652,0.01465434852,3139,855,RO
2023-05-12,2023-06-04,132,656.89,Tech Expo,Facebook Ads,US market,80,123.0361491,0.01498407942,5339,910,RO
2023-02-12,2023-04-25,43,659.13,Summer Sale,Facebook Ads,US market,19,99.64172336,0.002872260015,6615,811,ID
2023-02-05,2023-03-23,36,659.72,Spring Collection,Instagram Promotions,US market,23,86.91963109,0.00303030303,7590,839,ID
2023-01-13,2023-03-15,13,678.49,Summer Sale,Google Display Network,UA market,29,94.68183087,0.004046888083,7166,807,BR
2023-05-15,2023-06-06,135,681.23,Tech Expo,Google Display Network,UA market,76,153.1542266,0.01708633094,4448,950,RO
2023-04-27,2023-05-31,117,682.06,Tech Expo,Facebook Ads,UA market,51,106.4056162,0.007956318253,6410,812,RO
2023-02-23,2023-04-19,54,687.75,Outdoor Adventure,Google Display Network,UA market,30,78.55511136,0.003426613364,8755,929,ID
2023-01-05,2023-03-07,5,693.78,Summer Sale,Google Display Network,UA market,93,496.9770774,0.06661891117,1396,899,BR
2023-04-09,2023-06-28,99,693.84,Outdoor Adventure,Instagram Promotions,UA market,39,154.7023411,0.008695652174,4485,913,RO
2023-05-01,2023-07-23,121,695.53,Tech Expo,Instagram Promotions,UA market,48,162.620996,0.01122281973,4277,855,RO
2023-06-10,2023-07-18,161,723.61,Spring Collection,Facebook Ads,UA market,33,117.641034,0.005364981304,6151,890,US
2023-04-13,2023-05-17,103,724.06,Summer Sale,Google Display Network,UA market,20,136.8733459,0.003780718336,5290,816,RO
2023-02-14,2023-04-06,45,724.85,Summer Sale,Google Display Network,UA market,78,206.568823,0.02222855514,3509,887,ID
2023-01-20,2023-04-02,20,728.02,Summer Sale,Instagram Promotions,UA market,25,104.781232,0.003598157743,6948,859,ID
2023-06-16,2023-07-04,167,734.07,Tech Expo,Facebook Ads,UA market,48,98.51966179,0.00644208831,7451,801,CA
2023-04-22,2023-05-18,112,737.35,Spring Collection,Instagram Promotions,UA market,23,82.32108965,0.002567824048,8957,828,RO
2023-03-22,2023-06-02,81,738.39,Outdoor Adventure,Facebook Ads,UA market,80,203.0775578,0.02200220022,3636,813,AR
2023-05-31,2023-07-01,151,739.68,Summer Sale,Facebook Ads,UA market,35,505.9370725,0.02393980848,1462,927,US
2023-06-05,2023-06-22,156,740.02,Spring Collection,Google Display Network,UA market,51,89.80825243,0.006189320388,8240,871,US
2023-02-15,2023-04-29,46,742.09,Tech Expo,Facebook Ads,UA market,53,86.60170382,0.006185085774,8569,904,ID
2023-04-08,2023-07-02,98,748.71,Outdoor Adventure,Instagram Promotions,JP market,38,130.0747047,0.00660180681,5756,877,RO
2023-01-25,2023-03-08,25,749.73,Outdoor Adventure,Facebook Ads,JP market,88,79.88598828,0.009376664891,9385,867,ID
2023-01-08,2023-04-08,8,756.18,Outdoor Adventure,Google Display Network,JP market,34,215.1294452,0.009672830725,3515,868,BR
2023-03-07,2023-06-04,66,757.27,Spring Collection,Google Display Network,JP market,93,152.7986279,0.01876513317,4956,813,AU
2023-02-20,2023-03-30,51,761.9,Outdoor Adventure,Google Display Network,JP market,52,90.29390851,0.006162597772,8438,903,ID
2023-01-27,2023-04-03,27,770.87,Tech Expo,Google Display Network,JP market,36,92.03319007,0.004297994269,8376,833,ID
2023-02-27,2023-03-19,58,772.1,Outdoor Adventure,Instagram Promotions,JP market,73,203.8817006,0.01927647214,3787,820,AU
2023-06-09,2023-06-24,160,772.13,Spring Collection,Instagram Promotions,JP market,58,79.07927079,0.005940188447,9764,854,US
2023-06-04,2023-07-16,155,772.58,Tech Expo,Instagram Promotions,JP market,61,156.5511651,0.01236068896,4935,869,US
2023-05-30,2023-07-19,150,772.89,Tech Expo,Facebook Ads,JP market,75,100.5974229,0.009761811792,7683,835,US
2023-02-07,2023-03-29,38,775.71,Summer Sale,Facebook Ads,JP market,32,111.4525862,0.004597701149,6960,934,ID
2023-05-23,2023-08-18,143,778.4,Summer Sale,Facebook Ads,JP market,43,350.7886435,0.01937809824,2219,922,US
2023-02-28,2023-04-16,59,781.92,Outdoor Adventure,Google Display Network,JP market,35,225.7274827,0.0101039261,3464,912,AU
2023-03-19,2023-04-06,78,782.01,Tech Expo,Facebook Ads,JP market,100,624.1101357,0.0798084597,1253,949,AR
2023-01-24,2023-03-30,24,786.52,Outdoor Adventure,Google Display Network,JP market,34,147.9533484,0.006395786305,5316,852,ID
2023-06-13,2023-06-27,164,786.87,Summer Sale,Google Display Network,JP market,48,106.9989122,0.006527060103,7354,948,CA
2023-04-10,2023-06-01,100,787.46,Summer Sale,Google Display Network,JP market,22,212.5398111,0.005937921727,3705,898,RO
2023-05-21,2023-07-13,141,791.4,Summer Sale,Google Display Network,JP market,98,185.3395785,0.02295081967,4270,854,US
2023-06-17,2023-08-17,168,799.87,Outdoor Adventure,Google Display Network,JP market,70,148.9238503,0.01303295476,5371,889,MX
2023-03-14,2023-04-16,73,807.2,Tech Expo,Facebook Ads,JP market,32,130.2145507,0.005162122923,6199,903,ZA
2023-06-26,2023-09-02,177,807.24,Tech Expo,Google Display Network,JP market,41,120.9348315,0.006142322097,6675,896,FR
2023-03-02,2023-04-08,61,816.48,Tech Expo,Facebook Ads,JP market,25,182.2093283,0.005579111805,4481,830,AU
2023-06-20,2023-07-14,171,817.67,Tech Expo,Instagram Promotions,JP market,27,107.7015279,0.003556375132,7592,858,MX
2023-02-16,2023-04-25,47,818.22,Summer Sale,Instagram Promotions,JP market,77,85.20462356,0.008018327606,9603,949,ID
2023-03-23,2023-05-08,82,822.44,Tech Expo,Instagram Promotions,JP market,19,168.3258289,0.003888661482,4886,833,AR
2023-03-28,2023-06-20,87,849.09,Tech Expo,Facebook Ads,JP market,66,130.9515731,0.01017890191,6484,905,AR
2023-04-19,2023-06-14,109,855.71,Outdoor Adventure,Instagram Promotions,JP market,96,166.8375902,0.01871709885,5129,911,RO
2023-06-12,2023-08-13,163,857.63,Summer Sale,Google Display Network,JP market,58,86.78708763,0.005869257235,9882,920,CA
2023-02-17,2023-05-01,48,872.81,Spring Collection,Google Display Network,JP market,15,328.0007516,0.005636978579,2661,851,ID
2023-05-18,2023-08-09,138,881.62,Outdoor Adventure,Google Display Network,JP market,96,129.4216089,0.01409277745,6812,905,RO
2023-06-07,2023-07-01,158,882.8,Summer Sale,Google Display Network,JP market,65,116.7416028,0.008595609627,7562,852,US
2023-03-25,2023-05-18,84,884.21,Tech Expo,Google Display Network,JP market,31,318.8640462,0.01117922827,2773,892,AR
2023-01-04,2023-02-26,4,885.37,Outdoor Adventure,Google Display Network,ZA market,78,94.62113925,0.00833600513,9357,907,BR
2023-04-11,2023-07-10,101,913.54,Outdoor Adventure,Instagram Promotions,ZA market,45,123.8194633,0.006099213879,7378,859,RO
2023-05-28,2023-06-23,148,922.44,Outdoor Adventure,Facebook Ads,ZA market,51,106.2474084,0.005874222529,8682,928,US
2023-03-17,2023-04-20,76,928.4,Tech Expo,Facebook Ads,ZA market,69,174.2492492,0.01295045045,5328,884,AR
2023-04-03,2023-04-22,93,936.41,Tech Expo,Instagram Promotions,ZA market,49,755.7788539,0.0395480226,1239,946,AR
2023-01-17,2023-04-01,17,944.17,Outdoor Adventure,Google Display Network,ZA market,42,103.0303361,0.004583151462,9164,924,ID
2023-04-16,2023-06-27,106,944.32,Tech Expo,Google Display Network,ZA market,35,116.3098904,0.004310875724,8119,935,RO
2023-05-25,2023-07-17,145,951.07,Spring Collection,Instagram Promotions,ZA market,91,105.1487009,0.01006080708,9045,907,US
2023-04-12,2023-05-21,102,954.27,Summer Sale,Instagram Promotions,ZA market,37,118.7050628,0.004602562508,8039,803,RO
2023-02-21,2023-03-08,52,968.35,Spring Collection,Google Display Network,ZA market,54,291.0580102,0.01623083859,3327,852,ID
2023-05-29,2023-08-06,149,972.14,Spring Collection,Google Display Network,ZA market,31,726.5620329,0.02316890882,1338,932,US
2023-01-11,2023-02-17,11,973.2,Summer Sale,Instagram Promotions,ZA market,27,328.008089,0.009100101112,2967,894,BR
2023-03-09,2023-05-02,68,973.92,Summer Sale,Facebook Ads,ZA market,66,745.1568477,0.05049732211,1307,883,ZA
2023-05-07,2023-06-27,127,981.69,Outdoor Adventure,Google Display Network,ZA market,34,214.2960052,0.007421960271,4581,821,RO
2023-06-08,2023-06-27,159,988.53,Spring Collection,Google Display Network,ZA market,49,241.340332,0.01196289063,4096,929,US
2023-02-08,2023-03-27,39,989.94,Spring Collection,Facebook Ads,ZA market,79,263.072017,0.02099388786,3763,825,ID
2023-02-09,2023-03-29,40,996.71,Summer Sale,Google Display Network,ZA market,85,143.8669169,0.01226905312,6928,882,ID
